id,x,y,cluster
1,15.55,28.65,4
2,14.9,27.55,4
3,14.45,28.35,4
4,14.15,28.8,4
5,13.75,28.05,4
6,13.35,28.45,4
7,13.0,29.15,4
8,13.45,27.5,4
9,13.6,26.5,4
10,12.8,27.35,4
11,12.4,27.85,4
12,12.3,28.4,4
13,12.2,28.65,4
14,13.4,25.1,4
15,12.95,25.95,4
16,12.9,26.5,4
17,11.85,27.0,4
18,11.35,28.0,4
19,11.15,28.7,4
20,11.25,27.4,4
21,10.75,27.7,4
22,10.5,28.35,4
23,9.65,28.45,4
24,10.25,27.25,4
25,10.75,26.55,4
26,11.7,26.35,4
27,11.6,25.9,4
28,11.9,25.05,4
29,12.6,24.05,4
30,11.9,24.5,4
31,11.1,25.2,4
32,10.55,25.15,4
33,10.05,25.95,4
34,9.35,26.6,4
35,9.3,27.25,4
36,9.2,27.8,4
37,7.5,28.25,4
38,8.55,27.45,4
39,8.5,27.05,4
40,8.05,27.2,4
41,7.85,26.8,4
42,7.3,27.4,4
43,6.8,26.85,4
44,7.0,26.5,4
45,7.55,26.3,4
46,8.55,26.3,4
47,9.0,25.85,4
48,8.6,25.65,4
49,9.4,25.55,4
50,8.45,25.05,4
51,8.85,24.6,4
52,9.65,24.7,4
53,10.55,24.35,4
54,11.05,23.9,4
55,10.55,23.55,4
56,9.45,23.35,4
57,9.2,23.9,4
58,8.35,23.9,4
59,7.35,24.75,4
60,7.4,25.45,4
61,6.6,25.75,4
62,6.1,26.0,4
63,5.8,26.95,4
64,5.65,25.8,4
65,5.3,26.1,4
66,6.4,25.4,4
67,5.4,25.25,4
68,5.35,24.7,4
69,4.8,25.05,4
70,4.2,25.55,4
71,6.4,24.8,4
72,6.55,24.3,4
73,7.4,24.25,4
74,5.45,24.2,4
75,4.3,24.0,4
76,4.0,24.25,4
77,3.35,23.3,4
78,4.85,23.05,4
79,4.3,22.75,4
80,5.85,23.4,4
81,5.9,23.55,4
82,7.55,23.7,4
83,6.85,23.25,4
84,7.65,23.1,4
85,6.95,22.55,4
86,6.1,22.6,4
87,5.5,22.6,4
88,4.7,22.1,4
89,3.8,21.85,4
90,4.65,21.2,4
91,4.15,20.35,4
92,5.3,20.4,4
93,5.6,20.75,4
94,5.8,21.95,4
95,6.4,21.95,4
96,6.55,21.15,4
97,7.45,21.95,4
98,7.4,21.55,4
99,7.75,21.2,4
100,7.65,20.65,4
101,6.95,19.8,4
102,6.6,20.1,4
103,6.05,20.2,4
104,5.4,19.65,4
105,5.35,19.05,4
106,5.8,18.25,4
107,6.3,19.1,4
108,7.0,18.9,4
109,7.15,17.9,4
110,7.35,18.2,4
111,8.2,20.05,4
112,8.3,19.45,4
113,8.3,18.5,4
114,8.75,18.8,4
115,9.05,18.2,4
116,9.35,17.7,4
117,8.9,17.65,4
118,8.45,17.2,4
119,10.05,17.2,4
120,10.4,16.75,4
121,8.6,20.9,4
122,8.65,21.3,4
123,8.65,21.9,4
124,8.65,22.5,4
125,8.95,22.8,4
126,9.95,22.65,4
127,8.95,22.2,4
128,9.65,21.9,4
129,10.55,22.3,4
130,10.9,22.85,4
131,11.35,23.45,4
132,12.05,23.4,4
133,12.3,22.75,4
134,11.7,22.15,4
135,11.15,22.05,4
136,10.85,21.5,4
137,10.85,21.05,4
138,9.6,21.3,4
139,9.85,20.7,4
140,9.35,20.6,4
141,9.25,19.65,4
142,9.95,19.8,4
143,10.7,20.35,4
144,11.3,20.7,4
145,12.35,21.6,4
146,13.1,21.3,4
147,12.85,20.75,4
148,12.0,20.0,4
149,11.0,19.85,4
150,10.35,19.0,4
151,9.9,18.65,4
152,10.6,18.15,4
153,11.4,18.3,4
154,11.4,19.25,4
155,12.35,18.8,4
156,12.8,19.75,4
157,12.15,18.1,4
158,11.05,17.5,4
159,11.95,17.25,4
160,12.25,17.5,4
161,13.05,17.4,4
162,13.75,18.15,4
163,13.5,18.65,4
164,13.65,19.25,4
165,14.0,19.9,4
166,15.2,18.2,4
167,15.5,17.15,4
168,13.9,17.1,4
169,13.75,16.6,4
170,12.15,16.4,4
171,7.8,13.7,1
172,8.85,13.35,1
173,9.0,12.7,1
174,9.7,12.1,1
175,8.05,12.9,1
176,7.7,13.25,1
177,6.8,13.2,1
178,6.6,13.45,1
179,6.2,12.55,1
180,5.4,12.85,1
181,5.7,12.25,1
182,5.2,11.9,1
183,5.15,11.35,1
184,5.85,11.2,1
185,6.1,11.75,1
186,7.0,12.35,1
187,7.05,12.45,1
188,7.9,12.5,1
