cluster,centroid_x,centroid_y
1,579342.2205882353,597656.9117647059
2,411105.5248447205,167790.00310559006
3,428111.81875,403354.725
4,673665.8364779875,862024.4088050314
5,823925.5657894737,731083.0921052631
6,627263.6623376623,401267.3051948052
7,619941.6343283582,564714.776119403
8,366165.4074074074,604303.2716049383
9,202008.37199124726,472588.3238512035
10,851680.5,156552.99390243902
11,468492.95238095237,817322.9761904762
12,406853.0260869565,786530.2173913043
13,858362.9938650307,549582.226993865
14,803445.5536723164,321967.7514124294
15,247251.19736842104,852225.2828947369
