id,x,y,cluster
1,618600.0,551446.0,11
2,582015.0,546191.0,11
3,604737.0,574591.0,11
4,627968.0,574625.0,11
5,603145.0,574795.0,11
6,671919.0,571761.0,11
7,627912.0,593892.0,11
8,591851.0,569051.0,11
9,601444.0,572693.0,11
10,661430.0,603567.0,11
11,562704.0,570596.0,11
12,605107.0,563429.0,11
13,568824.0,570203.0,11
14,560237.0,500154.0,11
15,638559.0,558807.0,11
16,631297.0,578351.0,11
17,605284.0,556134.0,11
18,603849.0,572396.0,11
19,598634.0,619900.0,11
20,604157.0,574191.0,11
21,620438.0,511694.0,11
22,600202.0,622079.0,11
23,515612.0,540643.0,11
24,593490.0,623110.0,11
25,607084.0,595500.0,11
26,583728.0,563146.0,11
27,616044.0,533807.0,11
28,624452.0,584622.0,11
29,604438.0,574666.0,11
30,625709.0,660145.0,11
31,601376.0,579831.0,11
32,612799.0,537497.0,11
33,575440.0,568511.0,11
34,605927.0,572533.0,11
35,647354.0,579190.0,11
36,680357.0,620811.0,11
37,604294.0,574368.0,11
38,611508.0,503220.0,11
39,603789.0,574474.0,11
40,551740.0,588768.0,11
41,569197.0,559307.0,11
42,606809.0,572101.0,11
43,588597.0,622592.0,11
44,613840.0,534167.0,11
45,601339.0,571609.0,11
46,593398.0,559764.0,11
47,593166.0,622725.0,11
48,712648.0,607541.0,11
49,660327.0,585901.0,11
50,604001.0,573587.0,11
51,538571.0,654649.0,11
52,586097.0,567445.0,11
53,599123.0,616977.0,11
54,617717.0,613939.0,11
55,618869.0,577243.0,11
56,636628.0,533309.0,11
57,604352.0,573425.0,11
58,596891.0,579476.0,11
59,604415.0,571400.0,11
60,593317.0,534085.0,11
61,657985.0,453405.0,4
62,601900.0,569391.0,11
63,639431.0,588155.0,11
64,568570.0,579335.0,11
65,667639.0,571164.0,11
66,596796.0,529933.0,11
67,606111.0,617846.0,11
68,571334.0,594145.0,11
69,605100.0,573307.0,11
70,585195.0,555011.0,11
71,651740.0,589474.0,11
72,589112.0,536573.0,11
73,582057.0,543124.0,11
74,577242.0,574073.0,11
75,631182.0,565466.0,11
76,695646.0,652231.0,11
77,567428.0,580005.0,11
78,634967.0,579020.0,11
79,614615.0,574437.0,11
80,594084.0,629464.0,11
81,601530.0,577183.0,11
82,603055.0,589818.0,11
83,616561.0,619007.0,11
84,611581.0,572630.0,11
85,579712.0,568354.0,11
86,602887.0,595245.0,11
87,605913.0,579526.0,11
88,610263.0,574422.0,11
89,624369.0,532153.0,11
90,599870.0,591110.0,11
91,658403.0,611332.0,11
92,610980.0,522819.0,11
93,569422.0,567790.0,11
94,540783.0,626497.0,11
95,637323.0,549567.0,11
96,638078.0,629421.0,11
97,647103.0,573853.0,11
98,533799.0,564377.0,11
99,649034.0,528813.0,11
100,622407.0,583192.0,11
101,597026.0,642918.0,11
102,546632.0,599204.0,11
103,672565.0,564468.0,11
104,636500.0,587401.0,11
105,696144.0,548705.0,11
106,533551.0,582247.0,11
107,526802.0,551524.0,11
108,696601.0,603624.0,11
109,663578.0,586265.0,11
110,628080.0,562986.0,11
111,597421.0,554767.0,11
112,595193.0,576508.0,11
113,658103.0,572250.0,11
114,606415.0,581386.0,11
115,641976.0,577433.0,11
116,589180.0,595099.0,11
117,580561.0,528916.0,11
118,621726.0,578003.0,11
119,541976.0,512639.0,11
120,593840.0,578685.0,11
121,602667.0,575857.0,11
122,631446.0,561156.0,11
123,593865.0,572987.0,11
124,668502.0,563937.0,11
125,814045.0,332998.0,15
126,779956.0,271501.0,15
127,797205.0,313318.0,15
128,783666.0,262902.0,15
129,806131.0,312752.0,15
130,830658.0,368694.0,15
131,801910.0,325434.0,15
132,808062.0,337340.0,15
133,789833.0,304422.0,15
134,800865.0,312968.0,15
135,802237.0,318526.0,15
136,780927.0,285057.0,15
137,809182.0,319115.0,15
138,820327.0,352701.0,15
139,801093.0,317509.0,15
140,805237.0,318655.0,15
141,801441.0,323812.0,15
142,797313.0,317527.0,15
143,790395.0,300024.0,15
144,797787.0,301470.0,15
145,804630.0,332333.0,15
146,802111.0,320817.0,15
147,819768.0,346596.0,15
148,800565.0,319364.0,15
149,814401.0,341234.0,15
150,776131.0,248465.0,15
151,809550.0,327365.0,15
152,795322.0,311178.0,15
153,830450.0,393096.0,15
154,802814.0,320130.0,15
155,823913.0,369439.0,15
156,803386.0,318982.0,15
157,798904.0,324420.0,15
158,807446.0,342555.0,15
159,804251.0,329956.0,15
160,803448.0,314797.0,15
161,826228.0,376658.0,15
162,808686.0,332209.0,15
163,798472.0,322218.0,15
164,795489.0,287279.0,15
165,802853.0,314938.0,15
166,801588.0,319814.0,15
167,807293.0,347456.0,15
168,817119.0,336333.0,15
169,797272.0,324228.0,15
170,795836.0,291870.0,15
171,798321.0,319665.0,15
172,800667.0,315995.0,15
173,795205.0,316433.0,15
174,782642.0,275308.0,15
175,787644.0,297715.0,15
176,800677.0,310656.0,15
177,800394.0,301473.0,15
178,795571.0,310093.0,15
179,814158.0,335578.0,15
180,811913.0,325091.0,15
181,775604.0,274485.0,15
182,826789.0,377676.0,15
183,814108.0,344096.0,15
184,807017.0,330432.0,15
185,817410.0,346944.0,15
186,803277.0,319525.0,15
187,833182.0,379714.0,15
188,798059.0,316113.0,15
189,769876.0,257669.0,15
190,791983.0,298565.0,15
191,801386.0,313545.0,15
192,810903.0,332925.0,15
193,838276.0,395673.0,15
194,777978.0,252419.0,15
195,820258.0,351165.0,15
196,810253.0,323873.0,15
197,802041.0,319504.0,15
198,804190.0,320706.0,15
199,840462.0,402858.0,15
200,804119.0,328544.0,15
201,803057.0,331037.0,15
202,803031.0,325811.0,15
203,800444.0,311497.0,15
204,803470.0,319069.0,15
205,811277.0,335577.0,15
206,813436.0,360446.0,15
207,838129.0,404012.0,15
208,764997.0,249477.0,15
209,800316.0,311699.0,15
210,802655.0,316263.0,15
211,801456.0,320080.0,15
212,840886.0,397888.0,15
213,829529.0,375007.0,15
214,833661.0,389733.0,15
215,794956.0,309980.0,15
216,809552.0,342258.0,15
217,811502.0,355939.0,15
218,803370.0,318247.0,15
219,804702.0,315881.0,15
220,813791.0,334609.0,15
221,812965.0,330224.0,15
222,826048.0,374236.0,15
223,798633.0,317300.0,15
224,802537.0,312497.0,15
225,805977.0,320805.0,15
226,824212.0,363776.0,15
227,798981.0,311092.0,15
228,797178.0,310439.0,15
229,796283.0,315582.0,15
230,801782.0,318281.0,15
231,803377.0,319212.0,15
232,803932.0,318781.0,15
233,793684.0,312065.0,15
234,821151.0,366545.0,15
235,801903.0,312794.0,15
236,782506.0,279930.0,15
237,794667.0,315069.0,15
238,798243.0,324160.0,15
239,818119.0,348676.0,15
240,810502.0,336169.0,15
241,793560.0,285392.0,15
242,801326.0,315779.0,15
243,808644.0,326320.0,15
244,813645.0,328765.0,15
245,811061.0,333595.0,15
246,783110.0,289805.0,15
247,800235.0,316652.0,15
248,805035.0,317469.0,15
249,801166.0,322298.0,15
